Red Subset,Blue Subset,Sum,TimeFound
"(4890524, 4681945, 8546532, 8541011, 9356134, 7956588, 1966247)","(1271334, 6712289, 2455118, 8081143, 8224679, 9323386, 3696206, 4446344, 1728483)",45938981,1727855878.234627
"(8381842, 1425045, 8081143, 1779814, 9222657, 9323386, 5363473, 3696206, 7496930, 1966247)","(9469287, 6712289, 6483223, 8224679, 9356134, 7956588, 8534543)",56736743,1727856070.140468
"(1425045, 4681945, 8022348, 6192770, 4443234, 8546532, 9222657, 8541011, 3696206, 1728483, 7496930, 1966247)","(6712289, 8381842, 5992875, 6483223, 1779814, 8224679, 7956588, 8534543, 4446344, 7451212)",65963408,1727857444.4993048
"(6712289, 1779814, 4443234, 9222657, 9323386, 9356134, 7956588, 3696206, 7496930)","(9469287, 1271334, 5992875, 4890524, 8022348, 6483223, 8224679, 5363473, 8541011, 1728483)",59987238,1727857806.4364197
"(8381842, 5992875, 1425045, 4681945, 8022348, 6483223, 6192770, 8546532, 8224679, 8534543, 4446344)","(6712289, 2455118, 4443234, 9222657, 9323386, 5363473, 8541011, 7956588, 7451212, 7496930, 1966247)",70932146,1727857974.201205
"(9469287, 1271334, 2455118, 1425045, 9323386, 5363473, 8541011, 9356134, 7956588)","(6712289, 8381842, 4681945, 8022348, 6192770, 1779814, 4443234, 8534543, 4446344, 1966247)",55161376,1727858945.826387
"(1271334, 6712289, 8381842, 2455118, 5992875, 9323386, 7956588, 3696206, 7451212, 1966247)","(9469287, 4890524, 8022348, 8081143, 6192770, 1779814, 8546532, 8224679)",55207097,1727859158.7752159
"(9469287, 5992875, 1425045, 8022348, 6483223, 1779814, 5363473, 7956588, 1728483, 7496930)","(2455118, 4890524, 6192770, 8546532, 9323386, 8541011, 9356134, 4446344, 1966247)",55718066,1727859199.5227878
"(5992875, 1425045, 4681945, 1779814, 9323386, 5363473, 8534543, 7451212)","(1271334, 8381842, 2455118, 6483223, 8541011, 7956588, 7496930, 1966247)",44552293,1727860240.1335568
"(6712289, 2455118, 5992875, 4681945, 8022348, 6483223, 1779814, 5363473, 3696206, 8534543, 1728483, 7496930, 1966247)","(9469287, 8381842, 8081143, 8546532, 8224679, 9222657, 8541011, 4446344)",64913494,1727861938.461442
"(6712289, 8381842, 4681945, 8081143, 8224679, 9222657, 8541011, 9356134, 7956588)","(1271334, 2455118, 5992875, 4890524, 1425045, 8022348, 6483223, 6192770, 8546532, 9323386, 5363473, 1728483, 7496930, 1966247)",71158288,1727861993.8435385
"(6712289, 8224679, 9222657, 8541011, 3696206, 1728483, 7496930, 1966247)","(9469287, 8381842, 6483223, 5363473, 9356134, 8534543)",47588502,1727862347.3506367
"(9469287, 2455118, 4890524, 1425045, 4681945, 6192770, 8546532, 8224679, 8534543, 4446344, 1728483, 7496930)","(8381842, 8022348, 9323386, 5363473, 8541011, 9356134, 7956588, 3696206, 7451212)",68092200,1727863335.67432
"(9469287, 1271334, 6712289, 8081143, 6192770, 9222657, 8541011, 4446344, 1728483, 7496930)","(8381842, 4890524, 1425045, 4681945, 8546532, 8224679, 5363473, 3696206, 8534543, 7451212, 1966247)",63162248,1727863343.56283
"(9469287, 1271334, 8381842, 2455118, 5992875, 4681945, 8022348, 6192770, 9222657, 7956588, 8534543, 7496930)","(6712289, 4890524, 6483223, 8081143, 1779814, 4443234, 8546532, 8224679, 9323386, 9356134, 3696206, 4446344, 1728483, 1966247)",79678237,1727863765.5015905
"(1271334, 6712289, 4681945, 8081143, 6192770, 1779814, 8546532, 8541011, 4446344, 1728483, 7496930)","(8381842, 1425045, 6483223, 9222657, 9323386, 5363473, 9356134, 7956588, 1966247)",59478595,1727863871.892761
"(9469287, 8381842, 1425045, 8022348, 6483223, 8081143, 1779814, 5363473, 9356134, 7451212)","(6712289, 2455118, 5992875, 6192770, 8546532, 8224679, 8541011, 7956588, 1728483, 7496930, 1966247)",65813521,1727864202.8957937
